Année;Nombre
1867;1
1885;1
1891;1
1895;1
1897;1
1904;2
1924;1
1925;1
1928;1
1929;1
1930;1
1936;1
1942;1
1948;1
1950;3
1953;1
1955;1
1957;1
1958;1
1960;4
1963;2
1965;1
1966;1
1968;1
1969;1
1970;2
1971;2
1972;1
1973;2
1974;3
1975;2
1976;2
1977;1
1978;2
1979;1
1981;2
1982;2
1983;3
1984;4
1985;3
1986;3
1987;3
1988;3
1989;2
1990;5
1991;1
1992;4
1993;4
1995;2
1996;2
1997;4
1998;3
1999;3
2000;4
2001;3
2002;3
2003;3
2004;2
2005;3
2006;1
2007;5
2008;3
2009;7
2010;5
2011;3
2012;6
2013;4
2014;3
2015;2
2016;3
2017;4
2018;1
2019;4
2020;6
2021;1
2022;3
2023;1
2024;2
2025;1
